cohort,White,Black,American Indian,Hispanic,Asian,Others,Male,Female,NAN,CC,IC+CC,Salvage+Rad,Salvage,Rad,IC+Rad,Tx,T1,T2,T3,T4,T NAN,N0,N1,N2,N3,N_NAN,HPV_Positive,HPV_Negative,HPV_Unknown,S_Current,S_Former,S_Never,FT_Y,FT_N,FT_NaN,Dead,Alive,Survival_NAN
UIC,174,94,0,20,12,140,308,130,10,123,0,9,49,10,0,11,8,67,67,117,142,126,47,100,12,141,28,26,394,117,178,118,157,220,71,30,334,84
MDACC,587,18,1,24,7,7,566,78,0,340,160,0,0,83,61,2,138,269,137,97,0,26,73,525,20,0,393,201,50,139,238,267,107,535,2,132,512,0
